n_node,n_hop,total,bad,loop,no_path
200,4,39800,26981,157,26824
200,4,39800,29705,1242,28463
200,4,39800,32180,4,32176
200,4,39800,30649,202,30447
200,4,39800,31288,496,30792
200,4,39800,26941,407,26534
200,4,39800,29097,632,28465
200,4,39800,24679,87,24592
200,4,39800,30175,213,29962
200,4,39800,22519,289,22230
200,4,39800,34063,674,33389
