n_node,n_hop,total,bad,loop,no_path
400,4,159600,19835,1101,18734
400,4,159600,11055,195,10860
400,4,159600,12192,1801,10391
400,4,159600,8995,2027,6968
400,4,159600,13941,1021,12920
400,4,159600,18556,2830,15726
400,4,159600,11598,806,10792
400,4,159600,8862,707,8155
400,4,159600,16839,493,16346
400,4,159600,10415,1669,8746
400,4,159600,41111,10615,30496
