n_node,n_hop,total,bad,loop,no_path
500,4,249500,1442,66,1376
500,4,249500,1800,29,1771
500,4,249500,880,220,660
500,4,249500,186,0,186
500,4,249500,9518,2248,7270
500,4,249500,6240,841,5399
500,4,249500,5007,694,4313
500,4,249500,72,0,72
500,4,249500,7912,1232,6680
500,4,249500,2142,189,1953
500,4,249500,6886,104,6782
